clusterid,environment.2021_land_distance,environment.2021_mean_depth,environment.2021_net_primary_production,environment.2021_sea.bottom_dissolved_oxygen,fishing.activity.2021_total_fishing,species.richness.2021,stocks.richness.2021,thermohalinity_2021
0.0,0.6962463585434782,1.1562371599782606,1.7107014280869564,1.5786865152173908,3.3547813676956535,1.1034853341521742,1.1272589659999996,-1.1503881082826088
1.0,0.9492362847803038,0.03762660371212124,0.32536902456060585,0.6785087882727275,0.4957862256969698,1.7100675158863636,1.3692919098939387,-0.6099291592651516
2.0,-0.0944442198317759,-0.22587373061682234,0.270939189093458,0.1699202796635514,0.041178859411214956,0.9749880188317755,1.1542653880841127,-0.11978512618691588
3.0,1.3246004530666664,5.1161804648,1.3265687692,1.8745996889333334,0.23609216866666677,0.8068937458666666,0.8896943225333331,-1.9414304832000002
4.0,6.0123895296,4.6207735144,0.7095445786,-3.2549397548,-0.2577839456,-1.2557095768,-1.3618450652,4.775935346
5.0,-0.2114779558901099,-0.28700295238461554,-0.07260914737362639,-0.16919101523076918,-0.15181567712087904,0.36573874628571446,0.6609066980439561,0.08933495472527471
6.0,-0.1016173700416666,2.1393685211666664,0.04325896387499998,1.6444640699999997,0.6265372395833334,0.195261632875,0.65221501125,-1.3957275958750002
7.0,1.0922175770555556,-0.18720347049999997,-0.22084104933333334,-0.12046723955555559,-0.12627837633333333,0.12841261783333335,0.06538596911111111,-0.0038029578888888966
8.0,-0.44243016163953486,-0.3510924563488371,-0.10685882672093022,-0.4518123866279069,-0.3312245633488375,-0.20942483310465118,-0.05292008037209311,0.42750244063953496
9.0,-0.27341605138461533,1.8599212943846153,-0.29736590461538465,1.377892680923077,-0.33649968315384615,-0.46114707092307694,-0.07411236776923077,-1.4639925980769233
10.0,-0.4644671784558823,-0.37128001386764703,-0.01811061179411766,-0.25055534466176466,-0.40757332120588247,-0.4710555325588236,-0.40426198335294106,0.1663585110735294
11.0,0.3425697733333333,-0.14647822433333332,1.5203838136666665,-5.449038397333333,0.24249880999999998,-0.7167787986666667,-0.6961179383333334,3.988428618
12.0,-0.509804621862745,-0.33213791548039223,-0.17684686236274508,-0.24774927801960792,-0.41498120287254886,-0.6939553211764703,-0.621768557294118,0.262473415754902
13.0,4.04260108875,0.8625827570500002,0.74449142785,0.9041791046000001,0.24970660770000003,0.8362846792,0.7389636522,-1.33338790575
14.0,0.8564074489999999,0.22499931450000002,-0.417461054,0.3997355542857143,-0.338042305,-0.7097116719285713,-0.7791095275714286,-0.4204568685
15.0,-0.5307547396463415,-0.3602175214146341,-0.39305895004878033,-0.4737751982560975,-0.41338648824390245,-0.8495028880487807,-0.8967858023170732,0.40334652964634143
16.0,-0.5045477306351349,-0.36148268339189193,-0.5182385495270271,-0.5371529702702704,-0.42249495474324383,-1.0167440644324324,-1.145297033472972,0.5122776655675676
17.0,-0.6054914090802922,-0.395797026189781,-0.5491524793941606,-0.5809728439854018,-0.4255096538759121,-1.1667020121167895,-1.3626702333065703,0.5161434902043794
